"squirrel_id","percent_return","observations","ALR","LRS","LBS","litter_id","litter_size","year","field_bdate","n1_date","tag_date","grid","locx","locy","ln","food","father_id","mother_byear","mother_bcert","maternal_grandma_id","mom_dates","mom_datee","dam_age","julian","mom_longevity.x","litter_fit","ARS","std_ls","std_ARS","mean_growthRate","yrf","std_growth","std_julian","std_litter_fit","average_latency","mast_encounter","mast_encounter1","mom_longevity.y","exp","scaled_lat","scaled_long"
19308,100,2,3,0,9,5784,3,2014,"5/10/14","5/11/14",NA,"AG","0",-0.5,1,1,NA,2012,"N",NA,"3/31/13","5/15/17",2,130,1506,0,0,-0.460368481,0,NA,2014,NA,-0.509796733,0,84.5,1,"yes",1506,1,-1.897998462,0.131245564
19311,50,2,4,4,12,5862,2,2014,"5/26/14","5/28/14",NA,"AG","D.0",19,1,0,NA,2013,"Y",11921,"3/31/13","7/10/17",1,146,1562,0,1,-1.359857668,0.863013699,NA,2014,NA,-0.130553112,0,380,1,"yes",1562,0,0.603192903,0.215638856
19321,100,1,3,0,11,5864,4,2014,"7/13/14","7/20/14","8/5/14","AG","R.0",15.5,1,0,NA,2013,"Y",12558,"4/1/13","7/10/17",1,194,1561,0,0,0.439120705,0,0.427083333,2014,-2.77445178,1.007177752,0,360,1,"yes",1561,0,0.433907532,0.214131833
19334,100,3,5,2,17,5804,3,2014,"5/13/14","5/15/14",NA,"AG","J.0",9,1,1,NA,2013,"Y",11737,"4/5/13","5/23/18",1,133,1874,0,0,-0.460368481,0,NA,2014,NA,-0.438688554,0,187.6666667,1,"yes",1874,1,-1.024768087,0.685830058
19339,0,1,5,2,12,5926,3,2014,"6/3/14","6/17/14","6/28/14","AG","U.5",6,1,1,NA,2013,"Y",11817,"3/28/13","6/30/18",1,154,1920,2,2,-0.460368481,1.726027397,1.786363636,2014,0.338656524,0.059068699,2.709677419,420,1,"yes",1920,1,0.941763647,0.755153119
19353,100,NA,2,1,14,5770,4,2014,"4/13/14","4/13/14",NA,"AG","T.5",0,1,1,NA,2012,"N",NA,"4/8/13","6/17/16",2,103,1166,0,0,0.439120705,0,NA,2014,NA,-1.149770344,0,NA,1,"yes",1166,1,NA,-0.381142284
19398,100,2,4,0,3,7729,3,2017,"4/21/17","4/22/17","5/16/17","AG","0.5",16.5,1,1,NA,2013,"Y",12082,"4/7/13","6/5/17",4,111,1520,0,0,0.133174275,0,1.330555556,2017,-0.841876115,-0.11866757,0,163.5,0,"no",1520,1,-1.229321244,0.152343887
19404,100,1,5,2,14,5847,4,2014,"5/18/14","5/18/14","6/14/14","AG","M.5",9.5,1,1,NA,2013,"Y",12586,"4/14/13","8/16/18",1,138,1950,2,2,0.439120705,1.726027397,1.436111111,2014,-0.463513597,-0.320174922,2.709677419,345,1,"yes",1950,1,0.306943503,0.800363812
19411,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"yes",1949,0,NA,NA
19425,50,2,3,1,6,6126,3,2015,"3/26/15","3/26/15",NA,"JO","L.5",15,1,1,NA,2013,"Y",11965,"4/9/13","8/15/16",2,85,1224,0,0,0.468718433,NA,NA,2015,NA,0.114279986,NA,330,0,"no",1224,0,0.179979474,-0.293734945
