"","squirrel_id","grid_year","nest","n_pups","scaled_mom_age","scaled_mom_age_squared","scaled_density","year","predator","scaled_julian_date","ARS","return_lat","scaled_lat"
"41",12939,"AG_2017","2",2,1.95388349514563,3.81766071260251,0.557304854,"nonmast","low predator",-0.588434818,0,10,-2.270742404
"42",12939,"AG_2017","1",3,1.95388349514563,3.81766071260251,0.557304854,"nonmast","low predator",-0.588434818,0,0,-2.344062881
"43",13567,"AG_2017","2",2,1.95388349514563,3.81766071260251,0.68671293,"nonmast","low predator",-0.525542556,1,0,-2.344062881
"44",19275,"AG_2017","1",3,0.953883495145631,0.909893722311245,1.592569464,"nonmast","low predator",0.166272325,0,420,0.735397158
"45",11737,"AG_2017","1",3,3.95388349514563,15.633194693185,-1.125000137,"nonmast","low predator",-1.091572913,1,160,-1.170935247
"46",11737,"AG_2017","2",3,2.95388349514563,8.72542770289377,0.68671293,"nonmast","low predator",-1.091572913,1,95,-1.647518349
"47",13246,"AG_2017","2",3,1.95388349514563,3.81766071260251,-1.125000137,"nonmast","low predator",-1.185911306,2,39,-2.05811302
"48",19926,"AG_2017","2",3,-0.046116504854369,0.00212673201998304,0.68671293,"nonmast","low predator",-0.179635115,3,284,-0.261761331
"49",21153,"AG_2017","1",1,-0.046116504854369,0.00212673201998304,1.074937158,"nonmast","low predator",0.575072028,0,380,0.442115249
"50",20566,"AG_2017","2",3,-0.046116504854369,0.00212673201998304,1.204345234,"nonmast","low predator",-0.588434818,1,106,-1.566865824
"51",20566,"AG_2017","1",3,-0.046116504854369,0.00212673201998304,-1.125000137,"nonmast","low predator",-0.588434818,1,69,-1.838151589
"52",20863,"AG_2017","1",3,-1.04611650485437,1.09435974172872,-1.125000137,"nonmast","low predator",-1.217357437,2,170,-1.09761477
"53",22059,"AG_2017","2",3,-1.04611650485437,1.09435974172872,1.333753311,"nonmast","low predator",-0.399758032,1,141,-1.310244154
"54",12605,"AG_2017","1",2,3.95388349514563,15.633194693185,-1.125000137,"nonmast","low predator",-0.777111604,1,402,0.603420299
"55",19570,"AG_2017","2",2,0.953883495145631,0.909893722311245,1.204345234,"nonmast","low predator",-0.399758032,0,34,-2.094773259
"56",21128,"AG_2017","1",2,-0.046116504854369,0.00212673201998304,0.816121006,"nonmast","low predator",0.00904167,1,300,-0.144448568
