"","squirrel_id","grid_year","nest","n_pups","scaled_mom_age","scaled_mom_age_squared","scaled_density","year","predator","scaled_julian_date","ARS","m_return","m_return_numeric"
"49",20415,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,0.557304854,"nonmast","low predator",-0.395069359,1,"n",0
"50",13246,"AG_2017","1",3,1.98898678414097,3.95606842748743,-1.125000137,"nonmast","low predator",-1.188098557,2,"n",0
"51",19962,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,0.816121006,"nonmast","low predator",-1.124656221,0,"n",0
"52",19962,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-1.124656221,0,"n",0
"53",20051,"AG_2017","2",4,-0.0110132158590308,0.000121290923557608,0.945529082,"nonmast","low predator",-0.617117534,0,"n",0
"54",20051,"AG_2017","1",4,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.617117534,0,"n",0
"55",20255,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,1.333753311,"nonmast","low predator",-0.426790527,2,"n",0
"56",20255,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,1.333753311,"nonmast","low predator",-0.426790527,2,"n",0
"57",20863,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-1.219819725,2,"n",0
"58",12095,"AG_2017","2",1,3.98898678414097,15.9120155640513,1.074937158,"nonmast","low predator",-0.173021183,1,"n",0
"59",22059,"AG_2017","1",3,-1.01101321585903,1.02214772264162,1.333753311,"nonmast","low predator",-0.395069359,1,"n",0
"60",19311,"AG_2017","1",3,0.988986784140969,0.978094859205496,1.463161387,"nonmast","low predator",-0.236463519,2,"n",0
"61",20138,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,0.945529082,"nonmast","low predator",-0.395069359,1,"n",0
"62",13450,"AG_2017","2",3,1.98898678414097,3.95606842748743,-1.125000137,"nonmast","low predator",0.493123343,1,"n",0
"63",13450,"AG_2017","1",3,1.98898678414097,3.95606842748743,0.169080625,"nonmast","low predator",0.493123343,1,"n",0
"64",19988,"AG_2017","2",2,0.988986784140969,0.978094859205496,0.816121006,"nonmast","low predator",-0.268184687,0,"n",0
"65",21924,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,0.039672549,"nonmast","low predator",-0.268184687,1,"n",0
"66",21924,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,0.039672549,"nonmast","low predator",-0.268184687,1,"n",0
"67",13268,"AG_2017","2",2,1.98898678414097,3.95606842748743,1.333753311,"nonmast","low predator",-0.331627023,0,"n",0
