"","X.3","X.2","X.1","X","squirrel_id","grid_year","yearn","mid","locx","locy","litter","nest","n_pups","date","julian_date","year","t_return","return_lat","t_move","m_return","observer","nest_type","cones_counts","mustelid_tracks","LRS","mom_age","predator","month","scaled_lat","males","dist","age_sq","average_growth","scaled_pups","m_return_numeric","percent_return","observations","litter_id","julian_part","grid","locY","locX","local.density","scaled_julian_date","scaled_density","ARS"
"215",215,625,625,625,22458,"BT_2017",2017,"J5.",10,5.5,1,2,4,"6/5/17",156,"nonmast",37,37,81,"y","MCS/JGR/MJD","wb",NA,19,0,2,"low predator",6,-2.072777116,0,NA,4,NA,1.504961082,1,100,2,8142,131,"BT",5.5,10,0,-0.014415344,-0.779512256,0
"216",216,626,626,626,22458,"BT_2017",2017,"J5.",10,5.5,1,1,4,"5/17/17",137,"nonmast",84,84,131,"y","SWK","wb",NA,19,0,2,"low predator",5,-1.728170873,0,NA,4,NA,1.504961082,1,100,2,8142,131,"BT",5.5,10,3.578631857,-0.014415344,2.058472485,0
"217",217,641,641,641,22230,"BT_2017",2017,"K8",11,8,1,1,3,"5/24/17",144,"nonmast",330,330,360,"y","HLS/MJD","wb",NA,19,0,2,"low predator",5,0.075512864,0,NA,4,NA,0.330357311,1,50,2,7962,135,"BT",8,11,2.260188541,0.112469328,1.012899159,0
"218",218,697,697,697,22031,"BT_2017",2017,"I.5",9.5,5,1,1,1,"6/5/17",156,"nonmast",408,408,423,"y","ZCF/MMS","grass",NA,19,1,2,"low predator",6,0.647412585,0,NA,4,NA,-2.018850232,1,50,2,7949,139,"BT",5,9.5,0,0.239354,-0.779512256,1
"219",219,719,719,719,21952,"BT_2017",2017,"J.1",10.5,1,1,1,2,"5/25/17",145,"nonmast",278,278,356,"y","nKP/ARM","wb",NA,32,1,2,"low predator",5,-0.305753617,0,NA,4,NA,-0.844246461,1,50,4,7942,137,"BT",1,10.5,2.448537586,0.175911664,1.162266777,0
"220",220,725,725,725,21970,"BT_2017",2017,"P2",16,2,1,1,3,"5/24/17",144,"nonmast",224,224,286,"y","ZCF/MMS/JGR","grass",NA,19,0,3,"low predator",5,-0.701684194,0,NA,9,NA,0.330357311,1,50,4,7944,138,"BT",2,16,1.695141406,0.207632832,0.564796306,0
"221",221,746,746,746,22167,"BT_2017",2017,"K.8",11.5,8,1,1,3,"5/17/17",137,"nonmast",257,257,379,"y","ARM/nKP","grass",NA,32,1,1,"low predator",5,-0.459726619,0,NA,1,NA,0.330357311,1,25,4,8143,137,"BT",8,11.5,2.260188541,0.175911664,1.012899159,1
"222",222,878,878,878,22175,"BT_2017",2017,"-2",-2,0,1,2,3,"6/5/17",156,"nonmast",272,272,NA,"y","SWK","wb",NA,19,0,2,"low predator",6,-0.349745904,0,NA,4,NA,0.330357311,1,50,2,8133,131,"BT",0,-2,0,-0.014415344,-0.779512256,0
"223",223,224,224,224,22457,"BT_2018",2018,"n4.",14,4.5,1,1,2,"5/14/18",134,"nonmast",NA,420,NA,"n","RJn","wbr",NA,26,0,3,"low predator",5,0.735397158,0,NA,9,NA,-1.137070487,0,50,2,8848,125,"BT",4.5,14,2.636886631,-0.204742351,1.201733196,0
"224",224,259,259,259,21970,"BT_2018",2018,"P2",16,2,1,2,3,"6/14/18",165,"nonmast",NA,420,NA,"n","MKD","wbr",NA,26,0,4,"low predator",6,0.735397158,0,NA,16,NA,0.142133811,0,50,4,8813,141,"BT",2,16,0,0.302796335,-1.240498783,0
"225",225,272,272,272,21967,"BT_2018",2018,"K.1",11.5,1,1,2,4,"6/11/18",162,"nonmast",NA,420,NA,"n","MKD","grass",NA,26,NA,4,"low predator",6,0.735397158,0,NA,16,NA,1.421338109,0,0,2,8811,NA,"BT",1,11.5,0,NA,-1.240498783,NA
"226",226,273,273,273,21967,"BT_2018",2018,"K.1",11.5,1,1,1,4,"5/15/18",135,"nonmast",NA,420,NA,"n","MKD","grass",NA,26,NA,4,"low predator",5,0.735397158,0,NA,16,NA,1.421338109,0,0,2,8811,NA,"BT",1,11.5,1.883490451,NA,0.503952631,NA
"227",227,387,387,387,23356,"BT_2018",2018,"-2",-2.5,0,1,2,3,"5/31/18",151,"nonmast",NA,420,NA,"n","MKD","grass",NA,26,NA,NA,"low predator",5,0.735397158,0,NA,NA,NA,0.142133811,0,0,2,8977,126,"BT",0,-2.5,0.565047135,-0.173021183,-0.717163359,NA
"228",228,388,388,388,23356,"BT_2018",2018,"-2",-2.5,0,1,1,3,"5/9/18",129,"nonmast",NA,420,NA,"n","AKR","wbr",NA,26,NA,NA,"low predator",5,0.735397158,0,NA,NA,NA,0.142133811,0,0,2,8977,126,"BT",0,-2.5,0.565047135,-0.173021183,-0.717163359,NA
"229",229,690,690,690,22457,"BT_2018",2018,"n4.",14,4.5,1,2,2,"5/30/18",150,"nonmast",395,395,NA,"y","AHR","wbr",NA,26,0,3,"low predator",5,0.552095965,0,NA,9,NA,-1.137070487,1,50,2,8848,125,"BT",4.5,14,2.636886631,-0.204742351,1.201733196,0
"230",230,718,718,718,22189,"BT_2018",2018,"J.1",10.5,1,1,1,2,"5/16/18",136,"nonmast",90,90,120,"y","AHR","wbr",NA,26,NA,2,"low predator",5,-1.684178587,0,NA,4,NA,-1.137070487,1,100,1,8836,NA,"BT",1,10.5,2.260188541,NA,0.852842913,NA
"231",231,724,724,724,21970,"BT_2018",2018,"P2",16,2,1,1,3,"5/23/18",143,"nonmast",402,402,423,"y","MKD","wbr",NA,19,0,3,"low predator",5,0.603420299,0,NA,9,NA,0.142133811,1,50,4,8813,141,"BT",2,16,1.506792361,0.302796335,0.155062348,0
"232",232,29,29,29,21944,"BT_2019",2019,"C2.",3,2.5,1,1,4,"6/26/19",177,"mast",NA,420,NA,"n","LSM/SRT","wbr",NA,22,3,5,"low predator",6,0.735397158,0,NA,25,NA,1.154700538,0,0,1,9120,172,"BT",2.5,3,0,1.286152541,NA,3
"233",233,93,93,93,22101,"BT_2019",2019,"B.3",2.5,3,1,1,3,"6/27/19",178,"mast",NA,420,NA,"n","LSM/LKE","underground",NA,22,2,4,"low predator",6,0.735397158,0,NA,16,NA,-0.577350269,0,0,1,9125,174,"BT",3,2.5,0,1.349594877,NA,2
"234",234,170,170,170,22167,"BT_2019",2019,"K6.",11,6.5,1,1,3,"6/21/19",172,"mast",NA,420,NA,"n","SRT","underground",NA,22,1,4,"low predator",6,0.735397158,0,NA,16,NA,-0.577350269,0,25,4,9127,167,"BT",6.5,11,0,1.127546701,NA,0
"235",235,16,16,16,24265,"BT_2020",2020,"B1.",2,1.5,1,1,3,"5/4/20",125,"nonmast",NA,420,NA,"n","AMS","bucket",NA,13,0,1,"low predator",5,0.735397158,0,NA,1,NA,0.5,0,0,1,9777,123,"BT",1.5,2,0.941745225,-0.268184687,-0.25537696,0
"236",236,318,318,318,25024,"BT_2020",2020,"K6.",10.9,6.9,1,1,1,"5/4/20",125,"nonmast",NA,420,NA,"n","AnD","grass",NA,36,NA,2,"low predator",5,0.735397158,0,NA,4,NA,-1.5,0,33.33333333,3,9779,NA,"BT",6.9,10.9,1.883490451,NA,1.021507837,NA
"237",237,353,353,353,24704,"BT_2020",2020,"I7",1.5,7.3,1,1,3,"5/4/20",125,"nonmast",NA,420,NA,"n","AMS","grass",NA,13,1,1,"low predator",5,0.735397158,0,NA,1,NA,0.5,0,0,1,9746,115,"BT",7.3,1.5,0.188349045,-0.521954031,-1.276884796,1
"238",238,590,590,590,24831,"BT_2020",2020,"63",7.1,3.1,1,1,3,"5/4/20",125,"nonmast",180,180,240,"y","AnD","sg cavity",NA,13,NA,1,"low predator",5,-1.024294293,0,NA,1,NA,0.5,1,60,5,9778,90,"BT",3.1,7.1,1.506792361,-1.314983229,0.510753919,2
"239",239,23,23,23,22028,"BT_2021",2021,"B3.",2,3.3,1,2,2,"7/11/21",192,"nonmast",NA,420,NA,"n","MDM/SEL","grass",NA,36,NA,2,"low predator",7,0.735397158,0,NA,4,NA,-1.763834207,0,33.33333333,3,9825,167,"BT",3.3,2,0,1.127546701,-0.502518908,0
"240",240,121,121,121,22028,"BT_2021",2021,"B3.",2.6,4,1,1,2,"6/17/21",168,"nonmast",NA,420,NA,"n","MDM/DKZ","bucket",NA,305,NA,3,"high predator",6,0.735397158,0,NA,9,NA,-1.763834207,0,33.33333333,3,9825,167,"BT",4,2.6,0,1.127546701,-0.502518908,0
"241",241,159,159,159,24831,"BT_2021",2021,"G3",4.6,3,1,1,3,"6/5/21",156,"nonmast",NA,420,NA,"n","LLR","wbr",NA,305,NA,3,"high predator",6,0.735397158,0,NA,9,NA,0.503952631,0,60,5,9828,154,"BT",3,4.6,0,0.715171518,-0.502518908,0
"242",242,175,175,175,25024,"BT_2021",2021,"K6.",11,6.5,1,2,3,"6/5/21",156,"nonmast",600,420,NA,"n","LLR","wbr",NA,36,NA,2,"low predator",6,0.735397158,0,NA,4,NA,0.503952631,0,33.33333333,3,9872,NA,"BT",6.5,11,0,NA,-0.502518908,NA
"243",243,275,275,275,25102,"BT_2021",2021,"J3",9.7,3.1,1,2,3,"6/5/21",156,"nonmast",480,420,NA,"n","SEL/MBB","wbr",NA,36,NA,2,"low predator",6,0.735397158,0,NA,4,NA,0.503952631,0,0,4,9871,NA,"BT",3.1,9.7,0,NA,-0.502518908,NA
"244",244,284,284,284,25102,"BT_2021",2021,"J3",9.8,2.7,1,1,3,"5/11/21",131,"nonmast",NA,420,NA,"n","SEL/MBB","wbr",NA,36,NA,2,"low predator",5,0.735397158,0,NA,4,NA,0.503952631,0,0,4,9871,NA,"BT",2.7,9.8,1.318443316,NA,1.608060505,NA
"245",245,350,350,350,25101,"BT_2021",2021,"I.8",NA,-138.0812,1,1,3,"6/9/21",159,"nonmast",NA,420,NA,"n","LLR","grass",NA,305,NA,3,"high predator",6,0.735397158,0,NA,9,NA,0.503952631,0,50,2,9907,NA,"BT",-138.0812,NA,0,NA,-0.502518908,NA
"246",246,679,679,679,25024,"BT_2021",2021,"K6.",11.2,6,1,1,3,"5/12/21",132,"nonmast",420,420,420,"y","EMM","grass",NA,13,NA,1,"low predator",5,0.735397158,0,NA,1,NA,0.503952631,1,33.33333333,3,9872,NA,"BT",6,11.2,1.506792361,NA,1.909571849,NA
"247",247,846,846,846,25033,"BT_2021",2021,"0.2",NA,-138.07523,1,1,3,"5/14/21",134,"nonmast",300,300,NA,"y","MBB","sg cavity",NA,36,NA,2,"low predator",5,-0.144448568,0,NA,4,NA,0.503952631,1,25,4,9826,127,"BT",-138.07523,NA,0,-0.141300016,-0.502518908,0
"248",248,431,431,431,25033,"BT_2022",2022,"0.2",0.5,2,2,2,5,"9/11/22",NA,"mast",NA,420,NA,"n","DUMMY",NA,NA,305,NA,3,"high predator",9,0.735397158,0,NA,9,NA,0.095404097,0,25,4,10029,NA,"BT",2,0.5,0.565047135,NA,0.681186576,NA
"249",249,432,432,432,25033,"BT_2022",2022,"0.2",0.5,2,1,1,4,"6/9/22",NA,"mast",NA,420,NA,"n","DUMMY",NA,NA,305,NA,3,"high predator",6,0.735397158,0,NA,9,NA,-0.66782868,0,25,4,9991,154,"BT",2,0.5,0,0.715171518,-0.48656184,NA
"250",250,440,440,440,22028,"BT_2022",2022,"B.4",2.5,4,1,1,3,"6/14/22",NA,"mast",60,60,NA,"y","DUMMY",NA,NA,36,NA,2,"low predator",6,-1.904140018,0,NA,4,NA,-1.431061457,1,33.33333333,3,9975,160,"BT",4,2.5,0,0.905498526,-0.48656184,0
"251",251,456,456,456,24831,"BT_2022",2022,"E3.",5,3.5,1,1,5,"6/17/22",NA,"mast",NA,420,NA,"n","DUMMY",NA,NA,36,NA,2,"low predator",6,0.735397158,0,NA,4,NA,0.095404097,0,60,5,9976,162,"BT",3.5,5,0,0.968940862,-0.48656184,3
"252",252,457,457,457,24831,"BT_2022",2022,"E3.",5,3.5,2,2,4,"9/12/22",NA,"mast",NA,NA,NA,"y","DUMMY",NA,NA,305,NA,3,"high predator",9,NA,0,NA,9,NA,-0.66782868,1,60,5,10025,228,"BT",3.5,5,0.941745225,3.062537945,1.45968552,3
"253",253,474,474,474,24831,"BT_2022",2022,"G3",7,3,2,1,4,"8/16/22",NA,"mast",360,360,NA,"y","DUMMY",NA,NA,305,NA,3,"high predator",8,0.295474295,0,NA,9,NA,-0.66782868,1,60,5,10025,228,"BT",3,7,0,3.062537945,-0.48656184,3
"254",254,484,484,484,25101,"BT_2022",2022,"I.5",9.5,5,1,2,3,"7/24/22",NA,"mast",420,420,NA,"y","DUMMY",NA,NA,36,NA,2,"low predator",7,0.735397158,0,NA,4,NA,-1.431061457,1,50,2,9979,NA,"BT",5,9.5,0,NA,-0.48656184,NA
"255",255,495,495,495,25047,"BT_2022",2022,"I7",9,7,2,1,7,"8/13/22",NA,"mast",NA,420,NA,"n","DUMMY",NA,NA,305,NA,2,"high predator",8,0.735397158,0,NA,4,NA,1.621869651,0,33.33333333,3,10021,220,"BT",7,9,0,2.808768601,-0.48656184,5
"256",256,496,496,496,25047,"BT_2022",2022,"I7",9,7,1,1,5,"6/25/22",NA,"mast",NA,420,NA,"n","DUMMY",NA,NA,305,NA,2,"high predator",6,0.735397158,0,NA,4,NA,0.095404097,0,33.33333333,3,10003,172,"BT",7,9,0,1.286152541,-0.48656184,5
"257",257,497,497,497,25047,"BT_2022",2022,"I7",9,7,2,2,7,"9/7/22",NA,"mast",300,300,NA,"y","DUMMY",NA,NA,305,NA,2,"high predator",9,-0.144448568,0,NA,4,NA,1.621869651,1,33.33333333,3,10021,220,"BT",7,9,1.695141406,2.808768601,3.016683409,5
"258",258,501,501,501,25102,"BT_2022",2022,"J3",10,3,2,1,6,"8/4/22",NA,"mast",NA,420,NA,"n","DUMMY",NA,NA,305,NA,3,"high predator",8,0.735397158,0,NA,9,NA,0.858636874,0,0,4,10013,214,"BT",3,10,0,2.618441594,-0.48656184,0
"259",259,502,502,502,25102,"BT_2022",2022,"J3",10,3,1,1,5,"6/25/22",NA,"mast",NA,420,NA,"n","DUMMY",NA,NA,305,NA,3,"high predator",6,0.735397158,0,NA,9,NA,0.095404097,0,0,4,9978,168,"BT",3,10,0,1.159267869,-0.48656184,0
"260",260,913,913,913,25033,"BT_2022",2022,"O.2",15.5,2,2,1,5,"8/21/22",NA,"mast",NA,420,NA,"n","DUMMY",NA,NA,305,NA,3,"high predator",8,0.735397158,0,NA,9,NA,0.095404097,0,25,4,10029,NA,"BT",2,15.5,0,NA,-0.48656184,NA
"261",261,915,915,915,25400,"BT_2022",2022,"O.3",15.5,3,1,1,7,"6/27/22",NA,"mast",NA,420,NA,"n","DUMMY",NA,NA,305,NA,2,"high predator",6,0.735397158,0,NA,4,NA,1.621869651,0,66.66666667,3,9980,168,"BT",3,15.5,0,1.159267869,-0.48656184,NA
"262",262,916,916,916,25400,"BT_2022",2022,"O.3?",15.5,3,2,1,4,"8/13/22",NA,"mast",60,60,NA,"y","DUMMY",NA,NA,305,NA,2,"high predator",8,-1.904140018,0,NA,4,NA,-0.66782868,1,66.66666667,3,10023,NA,"BT",3,15.5,0,NA,-0.48656184,NA
"263",263,922,922,922,25400,"BT_2022",2022,"P5",16,5,2,2,4,"9/1/22",NA,"mast",300,300,NA,"y","DUMMY",NA,NA,305,NA,2,"high predator",9,-0.144448568,0,NA,4,NA,-0.66782868,1,66.66666667,3,10023,NA,"BT",5,16,0.565047135,NA,0.681186576,NA
"264",264,2,2,2,13228,"JO_2016",2016,"A4",1,4,1,1,3,"3/29/16",89,"nonmast",NA,420,NA,"n","FVK","grass",0,19,2,5,"low predator",3,0.735397158,0,0,25,NA,0.326427374,0,25,4,7025,88,"JO",4,1,0,-1.378425565,-0.694126195,0
"265",265,11,11,11,13228,"JO_2016",2016,"A4",1,4,1,2,3,"4/22/16",113,"nonmast",NA,420,NA,"n","FVK","grass",0,32,2,4,"low predator",4,0.735397158,0,0,16,NA,0.326427374,0,25,4,7025,88,"JO",4,1,0,-1.378425565,-0.694126195,0
"266",266,97,97,97,12700,"JO_2016",2016,"B.12",2.5,12,1,1,NA,"4/24/16",115,"nonmast",NA,420,NA,"n","CFH","wb",0,32,2,6,"low predator",4,0.735397158,0,5.0009999,36,NA,NA,0,0,1,6462,109,"JO",12,2.5,0,-0.712281038,-0.694126195,0
"267",267,124,124,124,19587,"JO_2016",2016,"I10",9,10,1,1,1,"4/11/16",102,"nonmast",NA,420,NA,"n","SMK","ground",0,19,0,4,"low predator",4,0.735397158,0,0.2,16,NA,-2.378256584,0,40,5,6514,100,"JO",10,9,0,-0.997771549,-0.694126195,0
"268",268,133,133,133,19587,"JO_2016",2016,"I10",9,10,1,2,1,"5/4/16",125,"nonmast",NA,420,NA,"n","ZCF","grass",0,26,0,5,"low predator",5,0.735397158,1.506792361,0.2,25,NA,-2.378256584,0,40,5,6514,100,"JO",10,9,3.201933766,-0.997771549,1.261698995,0
"269",269,135,135,135,21263,"JO_2016",2016,"I20",9,20,1,2,2,"5/11/16",132,"nonmast",NA,420,NA,"n","DWI",NA,0,32,0,3,"low predator",5,0.735397158,1.318443316,0.2,9,NA,-1.025914605,0,0,2,6652,108,"JO",20,9,2.636886631,-0.744002206,0.916553373,0
"270",270,136,136,136,21263,"JO_2016",2016,"I20",9,20,1,1,2,"4/26/16",117,"nonmast",NA,420,NA,"n","CFH",NA,0,32,0,3,"low predator",4,0.735397158,0,0.2,9,NA,-1.025914605,0,0,2,6652,108,"JO",20,9,0,-0.744002206,-0.694126195,0
"271",271,158,158,158,19553,"JO_2016",2016,"E.19",5.5,19,1,1,3,"4/18/16",109,"nonmast",NA,420,NA,"n","JGR","grass",0,32,2,3,"low predator",4,0.735397158,0,4.80416486,9,NA,0.326427374,0,50,4,6510,93,"JO",19,5.5,0,-1.219819725,-0.694126195,1
"272",272,183,183,183,20281,"JO_2016",2016,"F.18.",6.5,18.5,1,2,3,"5/5/16",126,"nonmast",NA,420,NA,"n","AEW",NA,0,32,0,2,"low predator",5,0.735397158,2.071839496,5.1,4,NA,0.326427374,0,0,3,6561,101,"JO",18.5,6.5,3.578631857,-0.966050382,1.491796076,0
"273",273,209,209,209,11720,"JO_2016",2016,"M17",13,17,1,2,4,"5/1/16",122,"nonmast",NA,420,NA,"n","CFH","cavity",0,32,1,6,"low predator",5,0.735397158,2.636886631,0.1,36,NA,1.678769354,0,50,2,7037,97,"JO",17,13,4.332028037,-1.092935053,1.951990238,0
"274",274,245,245,245,21414,"JO_2016",2016,"O1",15,1,1,1,3,"4/3/16",94,"nonmast",NA,420,NA,"n","DUMMY","wb",0,32,0,2,"low predator",4,0.735397158,0,NA,4,NA,0.326427374,0,0,1,7030,94,"JO",1,15,0,-1.188098557,-0.694126195,0
"275",275,257,257,257,19729,"JO_2016",2016,"P7.",16,7.5,1,1,2,"4/16/16",107,"nonmast",NA,420,NA,"n","FVK",NA,0,22,NA,6,"low predator",4,0.735397158,0,0.2,36,NA,-1.025914605,0,20,5,6945,105,"JO",7.5,16,0,-0.83916571,-0.694126195,0
"276",276,276,276,276,21465,"JO_2016",2016,"Q4",17,4,1,2,3,"5/1/16",122,"nonmast",NA,420,NA,"n","JGR, EBC","grass",0,19,1,3,"low predator",5,0.735397158,1.695141406,1.9,9,NA,0.326427374,0,33.33333333,6,7038,98,"JO",4,17,2.825235676,-1.061213885,1.031601914,0
"277",277,277,277,277,21465,"JO_2016",2016,"Q4",17,4,1,1,3,"4/9/16",100,"nonmast",NA,420,NA,"n","CFH","wb",0,22,1,5,"low predator",4,0.735397158,0,1.9,25,NA,0.326427374,0,33.33333333,6,7038,98,"JO",4,17,0,-1.061213885,-0.694126195,0
"278",278,279,279,279,19425,"JO_2016",2016,"L.15",12.5,15,1,2,3,"5/8/16",129,"nonmast",NA,420,NA,"n","FVK",NA,0,32,1,3,"low predator",5,0.735397158,1.695141406,4.709564736,9,NA,0.326427374,0,50,2,6506,105,"JO",15,12.5,4.332028037,-0.83916571,1.951990238,1
"279",279,280,280,280,22080,"JO_2016",2016,"L.12.",12.5,12.5,1,1,3,"4/12/16",103,"nonmast",NA,420,NA,"n","DWI",NA,0,32,0,1,"low predator",4,0.735397158,0,NA,1,NA,0.326427374,0,0,1,6971,102,"JO",12.5,12.5,0,-0.934329214,-0.694126195,0
"280",280,325,325,325,21683,"JO_2016",2016,"T13",20,13,1,2,3,"5/6/16",127,"nonmast",NA,420,NA,"n","MMS",NA,0,32,1,2,"low predator",5,0.735397158,0.565047135,0.2,4,NA,0.326427374,0,50,2,6676,102,"JO",13,20,1.506792361,-0.934329214,0.22626213,1
"281",281,335,335,335,19589,"JO_2016",2016,"P.11.",16.5,11.5,1,2,3,"5/9/16",130,"nonmast",NA,420,NA,"n","ZCF","grass",0,32,0,3,"low predator",5,0.735397158,0.37669809,5.303772242,9,NA,0.326427374,0,50,2,6515,105,"JO",11.5,16.5,2.825235676,-0.83916571,1.031601914,0
"282",282,583,583,583,13229,"JO_2016",2016,"B.5.",2.5,5.5,1,1,3,"4/25/16",116,"nonmast",89,89,107,"y","JST","grass",0,32,3,4,"low predator",4,-1.691510635,0,5.10881591,16,NA,0.326427374,1,50,2,6477,116,"JO",5.5,2.5,0,-0.490232863,-0.694126195,1
"283",283,630,630,630,19666,"JO_2016",2016,"J20",10,20,1,2,3,"5/4/16",125,"nonmast",398,398,424,"y","SWK","wb",0,32,0,3,"low predator",5,0.574092108,1.506792361,0.2,9,NA,0.326427374,1,50,2,6518,100,"JO",20,10,2.825235676,-0.997771549,1.031601914,0
"284",284,634,634,634,19553,"JO_2016",2016,"E.19",5.5,19,1,2,3,"4/25/16",116,"nonmast",144,144,205,"y","MMS",NA,0,19,2,4,"low predator",4,-1.288248011,0,4.80416486,16,NA,0.326427374,1,50,4,6510,93,"JO",19,5.5,0,-1.219819725,-0.694126195,1
"285",285,677,677,677,11720,"JO_2016",2016,"M17",13,17,1,1,4,"4/6/16",97,"nonmast",NA,NA,NA,"y","CFH","grass",0,32,1,6,"low predator",4,NA,0,0.1,36,NA,1.678769354,1,50,2,7037,97,"JO",17,13,0,-1.092935053,-0.694126195,0
"286",286,682,682,682,19432,"JO_2016",2016,"H.15",8.5,15,1,2,3,"5/10/16",131,"nonmast",169,169,226,"y","AEW","wb",0,32,0,3,"low predator",5,-1.104946818,2.071839496,5,9,NA,0.326427374,1,50,4,6507,107,"JO",15,8.5,4.520377082,-0.775723374,2.067038779,0
"287",287,683,683,683,19432,"JO_2016",2016,"H.15",8.5,15,1,1,3,"4/19/16",110,"nonmast",120,120,180,"y","FVK",NA,0,32,0,3,"low predator",4,-1.464217156,0,5,9,NA,0.326427374,1,50,4,6507,107,"JO",15,8.5,0,-0.775723374,-0.694126195,0
"288",288,764,764,764,19425,"JO_2016",2016,"L.15",12.5,15,1,1,3,"4/14/16",105,"nonmast",240,240,240,"y","CFH",NA,0,32,1,3,"low predator",4,-0.58437143,0,4.709564736,9,NA,0.326427374,1,50,2,6506,105,"JO",15,12.5,0,-0.83916571,-0.694126195,1
"289",289,780,780,780,11726,"JO_2016",2016,"M.4",13.5,4,1,1,1,"4/4/16",95,"nonmast",NA,NA,NA,"y","CFH",NA,0,19,3,6,"low predator",4,NA,0,5,36,NA,-2.378256584,1,100,3,7032,95,"JO",4,13.5,0,-1.156377389,-0.694126195,0
"290",290,809,809,809,21683,"JO_2016",2016,"T13",20,13,1,1,3,"4/14/16",105,"nonmast",360,360,420,"y","JGR","wb",0,32,1,2,"low predator",4,0.295474295,0,0.2,4,NA,0.326427374,1,50,2,6676,102,"JO",13,20,0,-0.934329214,-0.694126195,1
"291",291,826,826,826,19589,"JO_2016",2016,"P.11.",16.5,11.5,1,1,3,"4/16/16",107,"nonmast",240,240,NA,"y","JST","wb",0,32,0,3,"low predator",4,-0.58437143,0,5.303772242,9,NA,0.326427374,1,50,2,6515,105,"JO",11.5,16.5,0,-0.83916571,-0.694126195,0
"292",292,830,830,830,13208,"JO_2016",2016,"Q.1.",17.5,1.5,1,2,3,"5/1/16",122,"nonmast",180,180,180,"y","CFH","bucket",0,32,2,4,"low predator",5,-1.024294293,0.37669809,4.801041554,16,NA,0.326427374,1,80,5,7034,95,"JO",1.5,17.5,1.506792361,-1.156377389,0.22626213,0
"293",293,831,831,831,13208,"JO_2016",2016,"Q.1.",17.5,1.5,1,1,3,"4/5/16",96,"nonmast",180,180,240,"y","SBS",NA,0,32,2,4,"low predator",4,-1.024294293,0,4.801041554,16,NA,0.326427374,1,80,5,7034,95,"JO",1.5,17.5,0,-1.156377389,-0.694126195,0
"294",294,1,1,1,13228,"JO_2017",2017,"A4",1,4,1,2,2,"5/21/17",141,"nonmast",NA,420,NA,"n","BMT/ARM","wb",0.294117647,19,2,5,"low predator",5,0.735397158,1.318443316,0,25,NA,-0.61186946,0,25,4,7711,116,"JO",4,1,2.071839496,-0.490232863,0.34103471,0
"295",295,31,31,31,20440,"JO_2017",2017,"C1.",3,1.5,1,2,2,"6/12/17",163,"nonmast",NA,420,NA,"n","ZCF/HLS","wb",0.294117647,26,0,4,"low predator",6,0.735397158,0,0.223606798,16,NA,-0.61186946,0,75,4,7785,138,"JO",1.5,3,0,0.207632832,-1.027393876,0
"296",296,52,52,52,20241,"JO_2017",2017,"E12.",5,12.5,1,2,3,"5/30/17",150,"nonmast",NA,420,NA,"n","ARM/AJM/nKP","grass",0.294117647,19,0,3,"low predator",5,0.735397158,1.883490451,0.141421356,9,NA,0.866815069,0,0,2,7912,122,"JO",12.5,5,2.825235676,-0.299905855,0.838645105,0
"297",297,53,53,53,20241,"JO_2017",2017,"E12.",5,12.5,1,1,3,"5/2/17",122,"nonmast",NA,420,NA,"n","ARM/AJM/nKP","grass",0.294117647,19,0,3,"low predator",5,0.735397158,1.883490451,0.141421356,9,NA,0.866815069,0,0,2,7912,122,"JO",12.5,5,2.825235676,-0.299905855,0.838645105,0
"298",298,61,61,61,20841,"JO_2017",2017,"F0",6,0,1,2,3,"6/4/17",155,"nonmast",NA,420,NA,"n","MCS/JFB","wb",0.294117647,19,0,3,"low predator",6,0.735397158,0,0.223606798,9,NA,0.866815069,0,0,2,8137,130,"JO",0,6,0,-0.046136512,-1.027393876,0
"299",299,62,62,62,20841,"JO_2017",2017,"F0",6,0,1,1,3,"5/16/17",136,"nonmast",NA,420,NA,"n","HLS","grass",0.294117647,19,0,3,"low predator",5,0.735397158,0.75339618,0.223606798,9,NA,0.866815069,0,0,2,8137,130,"JO",0,6,1.506792361,-0.046136512,-0.032173086,0
"300",300,101,101,101,19553,"JO_2017",2017,"H20",8,20,1,2,2,"6/5/17",156,"nonmast",NA,420,NA,"n","SWK/LEP","wb",0.294117647,19,2,4,"low predator",6,0.735397158,0,0.223606798,16,NA,-0.61186946,0,50,4,7735,131,"JO",20,8,0,-0.014415344,-1.027393876,0
"301",301,122,122,122,19432,"JO_2017",2017,"I14",9,14,1,2,2,"6/4/17",155,"nonmast",NA,420,NA,"n","nMI/HLS","wb",0.294117647,19,0,4,"low predator",6,0.735397158,0,0.3,16,NA,-0.61186946,0,50,4,7733,130,"JO",14,9,0,-0.046136512,-1.027393876,0
"302",302,123,123,123,19432,"JO_2017",2017,"I14",9,14,1,1,2,"5/10/17",130,"nonmast",NA,420,NA,"n","SWK/LEP/JBF","grass",0.294117647,19,0,4,"low predator",5,0.735397158,2.636886631,0.3,16,NA,-0.61186946,0,50,4,7733,130,"JO",14,9,4.143678992,-0.046136512,1.709463297,0
"303",303,146,146,146,12318,"JO_2017",2017,"J18",10,18,1,2,1,"6/15/17",166,"nonmast",NA,420,NA,"n","JBF/AKM","grass",0.294117647,19,4,7,"low predator",6,0.735397158,0,0.141421356,49,NA,-2.090553989,0,0,2,7697,141,"JO",18,10,0,0.302796335,-1.027393876,0
