"","X.3","X.2","X.1","X","squirrel_id","grid_year","yearn","mid","locx","locy","litter","nest","n_pups","date","julian_date","year","t_return","return_lat","t_move","m_return","observer","nest_type","cones_counts","mustelid_tracks","LRS","mom_age","predator","month","scaled_lat","males","dist","age_sq","average_growth","scaled_pups","m_return_numeric","percent_return","observations","litter_id","julian_part","grid","locY","locX","local.density","scaled_julian_date","scaled_density","ARS"
"20",20,654,654,654,11737,"AG_2016",2016,"F.8.",6.5,8.5,1,1,4,"4/2/16",93,"nonmast",NA,NA,NA,"y","CFH","bucket",0,32,14,6,"low predator",4,NA,0,4.916299421,36,NA,1.456208877,1,75,4,7027,92,"AG",8.5,6.5,0,-1.251540893,-0.478456974,1
"21",21,667,667,667,19925,"AG_2016",2016,"G.8.",7.5,8.5,1,2,3,"4/22/16",113,"nonmast",263,263,295,"y","SBS","wb",0,32,0,2,"low predator",4,-0.415734333,0,4.909175083,4,NA,0.169326614,1,100,2,7024,87,"AG",8.5,7.5,0,-1.410146732,-0.478456974,0
"22",22,668,668,668,19925,"AG_2016",2016,"G.8.",7.5,8.5,1,1,3,"3/29/16",89,"nonmast",300,300,300,"y","SMK","bucket",0,32,0,2,"low predator",3,-0.144448568,0,4.909175083,4,NA,0.169326614,1,100,2,7024,87,"AG",8.5,7.5,0,-1.410146732,-0.478456974,0
"23",23,681,681,681,12604,"AG_2016",2016,"H.16",8.5,16,1,2,1,"5/7/16",128,"nonmast",217,217,217,"y","CFH","grass",0,32,1,6,"low predator",5,-0.753008528,2.448537586,4.9,36,NA,-2.404437913,1,33.33333333,3,6460,93,"AG",16,8.5,4.708726127,-1.219819725,2.700103342,0
"24",24,698,698,698,13267,"AG_2016",2016,"I.21.",9.5,21.5,1,1,3,"3/25/16",85,"nonmast",NA,NA,NA,"y","CFH","wb",0,32,0,4,"low predator",3,NA,0,4.7,16,NA,0.169326614,1,50,2,7001,84,"AG",21.5,9.5,0,-1.505310236,-0.478456974,0
"25",25,756,756,756,20231,"AG_2016",2016,"Q11",17,11,1,1,3,"4/26/16",117,"nonmast",231,231,280,"y","MMS, EBC",NA,0,32,1,2,"low predator",4,-0.65035986,0,0.424264069,4,NA,0.169326614,1,100,3,6556,109,"AG",11,17,0,-0.712281038,-0.478456974,0
"26",26,763,763,763,11059,"AG_2016",2016,"L.13.",12.5,13.5,1,1,1,"3/14/16",74,"nonmast",370,370,391,"y","SMK","grass",0,32,22,7,"low predator",3,0.368794772,0,5.003998401,49,NA,-2.404437913,1,100,1,6421,74,"AG",13.5,12.5,0,-1.822521916,-0.478456974,0
"27",27,765,765,765,21246,"AG_2016",2016,"L.22",12.5,22,1,1,2,"4/17/16",108,"nonmast",NA,NA,NA,"y","CFH",NA,0,32,3,2,"low predator",4,NA,0,5.008991915,4,NA,-1.11755565,1,66.66666667,3,6650,107,"AG",22,12.5,0,-0.775723374,-0.478456974,1
"28",28,775,775,775,12837,"AG_2016",2016,"R1",18,1,1,2,3,"4/26/16",117,"nonmast",112,112,144,"y","FVK",NA,0,32,3,4,"low predator",4,-1.522873537,0,0.360555128,16,NA,0.169326614,1,50,2,7028,92,"AG",1,18,0,-1.251540893,-0.478456974,1
"29",29,789,789,789,13023,"AG_2016",2016,"S8.",19,8.5,1,1,2,"3/27/16",87,"nonmast",NA,NA,NA,"y","CFH","bucket",0,32,6,5,"low predator",3,NA,0,0.223606798,25,NA,-1.11755565,1,50,4,7018,86,"AG",8.5,19,0,-1.4418679,-0.478456974,1
"30",30,798,798,798,19404,"AG_2016",2016,"n.8.",14.5,8.5,1,2,1,"5/8/16",129,"nonmast",345,345,NA,"y","AEW","grass",0,32,2,3,"low predator",5,0.185493579,2.071839496,5.0009999,9,NA,-2.404437913,1,100,1,6504,104,"AG",8.5,14.5,4.520377082,-0.870886878,2.57296093,0
"31",31,807,807,807,13215,"AG_2016",2016,"T18.",20,18.5,1,1,3,"3/27/16",87,"nonmast",NA,NA,NA,"y","CFH","bucket",0,32,7,5,"low predator",3,NA,0,0,25,NA,0.169326614,1,50,2,7019,86,"AG",18.5,20,0,-1.4418679,-0.478456974,1
"32",32,808,808,808,19353,"AG_2016",2016,"T0",20,0,1,1,3,"3/20/16",80,"nonmast",NA,NA,NA,"y","CFH","wb",0,32,1,4,"low predator",3,NA,0,0,16,NA,0.169326614,1,100,1,6934,80,"AG",0,20,0,-1.632194908,-0.478456974,1
"33",33,820,820,820,13257,"AG_2016",2016,"U21",21,21,1,2,4,"4/9/16",100,"nonmast",NA,NA,NA,"y","CFH","bucket",0,32,NA,4,"low predator",4,NA,0,0.141421356,16,NA,1.456208877,1,75,4,6936,75,"AG",21,21,0,-1.790800748,-0.478456974,2
"34",34,821,821,821,13257,"AG_2016",2016,"U21",21,21,1,1,4,"3/23/16",83,"nonmast",NA,NA,NA,"y","CFH","bucket",0,32,NA,4,"low predator",3,NA,0,0.141421356,16,NA,1.456208877,1,75,4,6936,75,"AG",21,21,0,-1.790800748,-0.478456974,2
